更新时间,#genre#
20241025-04-25-33,url


freetv,#genre#
CCTV1,https://stream1.freetv.fun/cctv-1-10.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv-1-11.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv-1-14.m3u8$[BD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv-1-15.m3u8$[HD]cctv-1
CCTV1,https://stream1.freetv.fun/cctv-1-3.m3u8$[BD]cctv-1_hd
CCTV1,https://stream1.freetv.fun/cctv-1-zong-he-1.m3u8$[BD]cctv-1_综合
CCTV1,https://stream1.freetv.fun/cctv1-1.m3u8$[HD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-10.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-12.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-13.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-14.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-17.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-19.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-2.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-23.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-24.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-27.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-29.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-31.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-32.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-33.m3u8$[HD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-34.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-36.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-37.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-39.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-41.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-42.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-44.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-45.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-47.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-5.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-51.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-52.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-53.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-54.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-55.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-56.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-57.m3u8$[HD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-58.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-59.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-6.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-62.ctv$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-65.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-66.m3u8$[BD]cctv1
CCTV1,https://stream1.freetv.fun/cctv1-68.ctv$[BD]cctv1
